review_id,date,os,version,rating,content,category_hint
R0071,2026-03-01,Android,v4.0.0,2,會員點數兌換流程複雜,會員
R0072,2026-04-03,iOS,v3.5.3,2,廣告太多體驗差,體驗
R0073,2026-01-04,iOS,v3.7.0,5,付款流程很順,支付
R0074,2026-04-14,iOS,v3.7.0,4,結帳速度比之前快,支付
R0075,2026-03-02,Android,v3.5.3,2,收費變貴 CP 值低,計價
R0076,2026-03-12,iOS,v3.5.2,5,分享給家人功能讚,社群
R0077,2026-04-13,iOS,v3.7.0,1,更新後變超慢,效能
R0078,2026-02-25,iOS,v4.0.1,5,付款流程很順,支付
R0079,2026-01-04,Android,v3.5.3,2,找不到我要的功能,可用性
R0080,2026-03-06,iOS,v4.0.1,2,AI 推薦不準,推薦
R0081,2026-02-11,Android,v3.7.0,5,夜間模式終於來了,UI
R0082,2026-04-17,iOS,v3.5.2,5,地圖功能很好用,功能
R0083,2026-02-28,Android,v4.0.1,2,優惠券常常用不了,促銷
R0084,2026-01-17,iOS,v3.7.0,5,生物辨識登入很方便,登入
R0085,2026-01-03,Android,v4.0.1,5,生物辨識登入很方便,登入
R0086,2026-03-19,iOS,v4.0.1,5,客服回應很快,客服
R0087,2026-01-23,iOS,v3.6.1,5,付款流程很順,支付
R0088,2026-04-03,iOS,v3.7.0,2,收費變貴 CP 值低,計價
R0089,2026-02-11,Android,v4.0.1,1,一直當機沒辦法用,穩定性
R0090,2026-03-13,iOS,v3.5.3,1,登入一直失敗,登入
R0091,2026-02-05,iOS,v4.0.1,2,找不到我要的功能,可用性
R0092,2026-03-06,Android,v3.7.0,1,登入一直失敗,登入
R0093,2026-04-08,iOS,v3.6.1,1,更新後變超慢,效能
R0094,2026-03-20,iOS,v4.0.0,2,通知太多請給關閉選項,通知
R0095,2026-02-27,Android,v3.7.0,1,常常閃退,穩定性
R0096,2026-03-31,Android,v3.7.0,4,介面變漂亮了,UI
R0097,2026-04-18,Android,v3.5.3,2,找不到我要的功能,可用性
R0098,2026-01-16,Android,v3.6.1,5,地圖功能很好用,功能
R0099,2026-01-10,iOS,v3.6.1,2,通知太多請給關閉選項,通知
R0100,2026-01-28,Android,v4.0.1,2,廣告太多體驗差,體驗
R0101,2026-04-10,iOS,v4.0.0,1,登入一直失敗,登入
R0102,2026-01-19,Android,v3.5.3,2,優惠券常常用不了,促銷
R0103,2026-01-29,iOS,v3.6.1,4,結帳速度比之前快,支付
R0104,2026-01-21,iOS,v3.5.3,1,每次更新就壞東西,更新
R0105,2026-03-07,Android,v3.6.0,5,地圖功能很好用,功能
R0106,2026-01-26,Android,v3.6.0,5,地圖功能很好用,功能
R0107,2026-04-03,Android,v3.5.2,2,廣告太多體驗差,體驗
R0108,2026-03-12,Android,v3.6.1,2,通知太多請給關閉選項,通知
R0109,2026-02-19,Android,v3.7.0,1,更新後變超慢,效能
R0110,2026-02-07,iOS,v3.5.2,2,收費變貴 CP 值低,計價
R0111,2026-01-14,iOS,v3.6.0,4,介面變漂亮了,UI
R0112,2026-01-06,iOS,v3.6.0,1,常常閃退,穩定性
R0113,2026-04-15,Android,v4.0.1,5,付款流程很順,支付
R0114,2026-02-21,iOS,v3.7.0,1,常常閃退,穩定性
R0115,2026-03-15,Android,v4.0.0,5,生物辨識登入很方便,登入
R0116,2026-01-12,Android,v3.5.2,2,通知太多請給關閉選項,通知
R0117,2026-02-24,iOS,v3.6.0,5,客服回應很快,客服
R0118,2026-03-23,iOS,v4.0.1,1,更新後變超慢,效能
R0119,2026-01-11,iOS,v3.5.2,1,常常閃退,穩定性
R0120,2026-04-21,iOS,v3.6.1,1,常常閃退,穩定性
R0121,2026-02-13,Android,v3.6.0,1,更新後變超慢,效能
R0122,2026-01-17,iOS,v3.7.0,2,收費變貴 CP 值低,計價
R0123,2026-01-15,iOS,v3.6.0,4,介面變漂亮了,UI
R0124,2026-01-24,iOS,v3.6.0,1,一直當機沒辦法用,穩定性
R0125,2026-03-09,iOS,v3.6.0,2,AI 推薦不準,推薦
R0126,2026-03-06,iOS,v3.6.0,4,結帳速度比之前快,支付
R0127,2026-04-13,iOS,v3.6.0,2,優惠券常常用不了,促銷
R0128,2026-01-02,iOS,v4.0.0,1,一直當機沒辦法用,穩定性
R0129,2026-03-12,iOS,v3.7.0,5,生物辨識登入很方便,登入
R0130,2026-02-01,Android,v3.5.2,1,每次更新就壞東西,更新
R0131,2026-03-26,Android,v3.7.0,5,地圖功能很好用,功能
R0132,2026-03-06,Android,v4.0.0,2,會員點數兌換流程複雜,會員
R0133,2026-01-30,Android,v3.5.3,2,找不到我要的功能,可用性
R0134,2026-02-21,Android,v3.5.2,5,付款流程很順,支付
R0135,2026-01-02,iOS,v4.0.0,5,付款流程很順,支付
R0136,2026-02-25,iOS,v3.5.2,1,常常閃退,穩定性
R0137,2026-03-27,Android,v4.0.1,2,廣告太多體驗差,體驗
R0138,2026-03-27,Android,v3.7.0,5,生物辨識登入很方便,登入
R0139,2026-03-30,Android,v3.5.2,4,介面變漂亮了,UI
R0140,2026-01-24,iOS,v3.6.0,4,結帳速度比之前快,支付
R0141,2026-01-01,Android,v3.6.0,4,結帳速度比之前快,支付
R0142,2026-03-12,Android,v3.5.3,2,通知太多請給關閉選項,通知
R0143,2026-02-09,iOS,v3.6.0,1,一直當機沒辦法用,穩定性
R0144,2026-01-01,Android,v3.6.1,5,客服回應很快,客服
R0145,2026-03-02,Android,v3.7.0,2,廣告太多體驗差,體驗
R0146,2026-02-01,iOS,v3.5.2,2,找不到我要的功能,可用性
R0147,2026-04-15,iOS,v3.5.3,1,常常閃退,穩定性
R0148,2026-03-17,iOS,v3.6.1,2,會員點數兌換流程複雜,會員
R0149,2026-02-08,Android,v4.0.0,1,更新後變超慢,效能
R0150,2026-01-11,iOS,v4.0.0,4,介面變漂亮了,UI
R0151,2026-02-19,Android,v4.0.0,2,收費變貴 CP 值低,計價
R0152,2026-01-20,Android,v4.0.0,1,每次更新就壞東西,更新
R0153,2026-03-24,iOS,v3.5.2,2,收費變貴 CP 值低,計價
R0154,2026-03-22,Android,v4.0.0,5,生物辨識登入很方便,登入
R0155,2026-01-18,iOS,v4.0.1,5,生物辨識登入很方便,登入
R0156,2026-04-13,iOS,v3.5.2,5,夜間模式終於來了,UI
R0157,2026-01-06,iOS,v4.0.0,1,更新後變超慢,效能
R0158,2026-01-14,Android,v4.0.1,2,優惠券常常用不了,促銷
R0159,2026-03-13,iOS,v4.0.0,4,結帳速度比之前快,支付
R0160,2026-03-22,iOS,v3.6.1,1,更新後變超慢,效能
R0161,2026-01-01,Android,v4.0.1,1,常常閃退,穩定性
R0162,2026-04-06,iOS,v4.0.0,2,廣告太多體驗差,體驗
R0163,2026-01-09,Android,v3.6.0,5,生物辨識登入很方便,登入
R0164,2026-04-19,Android,v3.5.3,2,廣告太多體驗差,體驗
R0165,2026-01-30,Android,v3.6.1,2,找不到我要的功能,可用性
R0166,2026-01-10,Android,v4.0.0,2,會員點數兌換流程複雜,會員
R0167,2026-04-09,iOS,v3.7.0,2,AI 推薦不準,推薦
R0168,2026-01-10,iOS,v3.6.0,2,找不到我要的功能,可用性
R0169,2026-03-25,Android,v3.7.0,1,常常閃退,穩定性
R0170,2026-01-18,iOS,v3.6.1,5,夜間模式終於來了,UI
R0171,2026-03-04,Android,v4.0.0,1,一直當機沒辦法用,穩定性
R0172,2026-03-30,iOS,v4.0.0,1,登入一直失敗,登入
R0173,2026-02-07,Android,v3.6.1,1,每次更新就壞東西,更新
R0174,2026-03-01,iOS,v3.7.0,4,結帳速度比之前快,支付
R0175,2026-02-09,iOS,v3.6.1,2,找不到我要的功能,可用性
R0176,2026-02-07,Android,v3.5.2,1,更新後變超慢,效能
R0177,2026-02-27,Android,v3.6.1,5,生物辨識登入很方便,登入
R0178,2026-01-27,iOS,v3.7.0,2,找不到我要的功能,可用性
R0179,2026-01-19,Android,v3.6.0,2,廣告太多體驗差,體驗
R0180,2026-03-19,Android,v3.5.2,5,付款流程很順,支付
R0181,2026-01-30,Android,v3.6.1,2,優惠券常常用不了,促銷
R0182,2026-01-04,iOS,v3.5.2,2,會員點數兌換流程複雜,會員
R0183,2026-03-29,Android,v3.6.1,1,每次更新就壞東西,更新
R0184,2026-04-04,iOS,v3.6.1,2,AI 推薦不準,推薦
R0185,2026-02-18,Android,v3.5.2,2,優惠券常常用不了,促銷
R0186,2026-01-01,Android,v4.0.1,2,通知太多請給關閉選項,通知
R0187,2026-04-18,Android,v3.5.2,2,通知太多請給關閉選項,通知
R0188,2026-04-02,iOS,v4.0.0,2,找不到我要的功能,可用性
R0189,2026-02-02,Android,v3.5.2,2,AI 推薦不準,推薦
R0190,2026-02-19,iOS,v3.6.0,2,會員點數兌換流程複雜,會員
R0191,2026-04-07,Android,v4.0.1,5,地圖功能很好用,功能
R0192,2026-02-05,iOS,v3.5.2,1,一直當機沒辦法用,穩定性
R0193,2026-03-23,iOS,v3.5.3,2,AI 推薦不準,推薦
R0194,2026-02-25,Android,v3.5.3,1,常常閃退,穩定性
R0195,2026-04-11,Android,v3.5.2,2,優惠券常常用不了,促銷
R0196,2026-03-12,iOS,v4.0.0,2,會員點數兌換流程複雜,會員
R0197,2026-01-07,Android,v3.6.1,2,廣告太多體驗差,體驗
R0198,2026-04-07,iOS,v4.0.0,2,收費變貴 CP 值低,計價
R0199,2026-03-04,iOS,v3.7.0,2,AI 推薦不準,推薦
R0200,2026-01-22,Android,v3.6.1,5,付款流程很順,支付
